scene_id,attack_name,suite,category,port,success,pcap_packets,pcap_bytes,tcp_syn,tcp_data,tcp_fin,tcp_rst,payload_bytes,duration_ms,cvss,cve_reference,pcap_file
102344193,Fw Update No Signature,firmware,firmware_update_attack,15012,0,28,1814,4,6,4,0,198,5.1,0.0,CVE-2020-10882 (TP-Link unsigned firmware update),Fw_Update_No_Signature_scene102344_p15012.pcap
102344193,Dos Rapid Commands,firmware,denial_of_service,15012,1,1289,75550,204,306,133,68,1734,568.4,0.0,,Dos_Rapid_Commands_scene102344_p15012.pcap
102344193,Dos Large Payload,firmware,denial_of_service,15012,0,94,92798,12,23,12,0,87390,1953.9,0.0,,Dos_Large_Payload_scene102344_p15012.pcap
102344193,State Manipulation Disarm,firmware,state_manipulation,15012,1,112,6632,16,24,16,0,168,211.6,0.0,CVE-2019-9483 (SimpliSafe alarm disarm vulnerability),State_Manipulation_Disarm_scene102344_p15012.pcap
102344193,State Manipulation Calibration,firmware,state_manipulation,15012,0,64,3802,8,16,8,0,122,7.0,0.0,,State_Manipulation_Calibration_scene102344_p15012.pcap
102344193,Replay Command,firmware,replay_attack,15012,1,56,3311,8,12,8,0,79,209.2,0.0,CVE-2018-11714 (Zigbee replay vulnerability),Replay_Command_scene102344_p15012.pcap
102344193,Fuzzing Random,firmware,protocol_fuzzing,15012,1,130,8906,18,30,17,1,1422,24036.0,0.0,,Fuzzing_Random_scene102344_p15012.pcap
102344193,Fuzzing Format Strings,firmware,protocol_fuzzing,15012,0,100,6103,14,22,14,0,335,9.0,0.0,CVE-2019-14889 (libssh format string vulnerability),Fuzzing_Format_Strings_scene102344_p15012.pcap
102344193,Schedule Oob Write,firmware,buffer_overflow,15012,0,114,6985,16,25,16,0,409,11.0,0.0,CVE-2021-33104 (IoT OOB write vulnerability),Schedule_Oob_Write_scene102344_p15012.pcap
102344193,Unauthorized Subscribe,network,mqtt_eavesdropping,15012,0,0,0,0,0,0,0,0,104.3,0.0,,Unauthorized_Subscribe_scene102344_p15012.pcap
102344193,Mqtt Message Injection,network,mqtt_message_injection,15012,0,0,0,0,0,0,0,0,101.7,0.0,,Mqtt_Message_Injection_scene102344_p15012.pcap
102344193,Mqtt Topic Hijack,network,mqtt_topic_hijack,15012,0,0,0,0,0,0,0,0,106.1,0.0,,Mqtt_Topic_Hijack_scene102344_p15012.pcap
102344193,Tcp Connection Hijack,network,tcp_connection_hijack,15012,1,20,1185,2,6,2,0,41,508.3,0.0,,Tcp_Connection_Hijack_scene102344_p15012.pcap
102344193,Tcp Mitm Proxy,network,tcp_man_in_the_middle,15012,1,17,1015,2,6,0,1,51,1116.5,0.0,,Tcp_Mitm_Proxy_scene102344_p15012.pcap
102344193,Tcp Flood,network,network_denial_of_service,15012,1,428,30410,104,58,52,3,5230,2513.7,0.0,,Tcp_Flood_scene102344_p15012.pcap
102344193,Zigbee Replay,network,protocol_replay,15012,1,6,360,0,2,2,1,36,0.3,0.0,,Zigbee_Replay_scene102344_p15012.pcap
102344193,Zigbee Key Extraction,network,protocol_downgrade,15012,1,0,0,0,0,0,0,0,0.4,0.0,,Zigbee_Key_Extraction_scene102344_p15012.pcap
102344193,Protocol Downgrade,network,protocol_downgrade,15012,0,14,815,2,1,4,0,7,3002.0,0.0,,Protocol_Downgrade_scene102344_p15012.pcap
102344193,Arp Spoof,network,arp_spoofing,15012,1,0,0,0,0,0,0,0,0.1,0.0,,Arp_Spoof_scene102344_p15012.pcap
102344193,Dns Poison,network,dns_poisoning,15012,1,0,0,0,0,0,0,0,0.2,0.0,,Dns_Poison_scene102344_p15012.pcap
102344193,Deauth,network,deauthentication_attack,15012,1,0,0,0,0,0,0,0,0.2,0.0,,Deauth_scene102344_p15012.pcap
102344193,Evil Twin,network,evil_twin_ap,15012,1,0,0,0,0,0,0,0,0.2,0.0,,Evil_Twin_scene102344_p15012.pcap
102344193,Traffic Fingerprinting,network,traffic_analysis,15012,0,39,1845,2,1,1,31,9,2304.2,0.0,,Traffic_Fingerprinting_scene102344_p15012.pcap
102344193,State-Update Delay Fu Type 1,phantom_delay,,15012,0,10,601,0,5,2,3,77,0.1,9.3,,State-Update_Delay_Fu_Type_1_scene102344_p15012.pcap
